ROOM ID,Node Inside,,left bottom(cm),,top right(cm),,left bottom (m),,top right (m),
1,3003,3002,0,0,4,3.5,0,0,6.8,5.95
2,3011,3010,0,3.5,4,7,0,5.95,6.8,11.9
3,3015,3014,0,7,4,10.5,0,11.9,6.8,17.85
4,3018,3017,0,10.5,4,13,0,17.85,6.8,22.1
5,3023,3022,0,15,5.5,20,0,25.5,9.35,34
6,3026,3025,5.5,15,9,20,9.35,25.5,15.3,34
7,3029,3028,9,15,13.5,20,15.3,25.5,22.95,34
8,3035,3034,13.5,15,17.8,20,22.95,25.5,30.26,34
9,3041,3040,17.8,15,21.7,20,30.26,25.5,36.89,34
10,3045,3044,21.7,15,27,20,36.89,25.5,45.9,34
11,3048,3047,22.5,9,27,13,38.25,15.3,45.9,22.1
12,3051,3050,22.5,6,27,9,38.25,10.2,45.9,15.3
13,3054,3071,22.5,3,27,6,38.25,5.1,45.9,10.2
14,3057,3073,22.5,0,27,3,38.25,0,45.9,5.1
15,3005,3004,6,0,10.5,3,10.2,0,17.85,5.1
17,3058,3074,15.6,0,20.5,3,26.52,0,34.85,5.1
18,3008,3007,6,3,27,5.3,10.2,5.1,45.9,9.01
19,3065,3064,10.5,3,15.6,5.3,17.85,5.1,26.52,9.01
20,3055,3072,15.6,3,20.5,5.3,26.52,5.1,34.85,9.01
21,3070,3069,6,7,10,10,10.2,11.9,17,17
22,3067,3066,10,7,16.5,10,17,11.9,28.05,17
23,3062,3061,16.5,7,20.8,10,28.05,11.9,35.36,17
24,3020,3019,6,10,13,13,10.2,17,22.1,22.1
25,3032,3031,13,10,17,13,22.1,17,28.9,22.1
26,3038,3037,17,10,20.5,13,28.9,17,34.85,22.1
27,vertical,8.5,4,0,6,14,6.8,0,10.2,23.8
28,horizontal,23.8,0,13,27,15,0,22.1,45.9,25.5
29,vertical,36.55,20.5,0,22.5,14,34.85,0,38.25,23.8
30,horizontal,10.2,5,5.3,21.5,7,8.5,9.01,36.55,11.9