nodeID,X(horizontal),Y(vertical),TYPE,X(m),Y(m)
3000,2.5,2.4,HALLWAY,8.5,8.16
3001,2.2,1.9,DOOR,7.48,6.46
3002,1.25,0.95,ROOM,4.25,3.23
3003,3.2,2.4,HALLWAY,10.88,8.16
3004,3.5,1.9,DOOR,11.9,6.46
3005,3.2,0.95,ROOM,10.88,3.23
3006,3.2,2.8,DOOR,10.88,9.52
3007,3.8,3.3,ROOM,12.92,11.22
3008,4.3,2.4,HALLWAY,14.62,8.16
3009,4.3,1.9,DOOR,14.62,6.46
3010,4.5,0.95,ROOM,15.3,3.23
3011,5,2.4,HALLWAY,17,8.16
3012,5,2.8,DOOR,17,9.52
3013,5.5,4,ROOM,18.7,13.6
3014,6,2.4,HALLWAY,20.4,8.16
3015,6,1.9,DOOR,20.4,6.46
3016,6.4,0.95,ROOM,21.76,3.23
3017,7.9,2.4,HALLWAY,26.86,8.16
3018,7.9,2.8,DOOR,26.86,9.52
3019,7.5,4,ROOM,25.5,13.6
3020,7.6,1.9,DOOR,25.84,6.46
3021,8.1,0.95,ROOM,27.54,3.23
3022,8.7,2.4,HALLWAY,29.58,8.16
3023,9.5,2.4,HALLWAY,32.3,8.16
3024,9.5,1.9,DOOR,32.3,6.46
3025,10.1,0.95,ROOM,34.34,3.23
3026,12.5,2.4,HALLWAY,42.5,8.16
3027,2.5,4.5,HALLWAY,8.5,15.3
3028,2,4.5,DOOR,6.8,15.3
3029,1,4,ROOM,3.4,13.6
3030,2.9,4.5,DOOR,9.86,15.3
3031,3.8,4.5,ROOM,12.92,15.3
3032,2.5,6.3,HALLWAY,8.5,21.42
3033,2,6.3,DOOR,6.8,21.42
3034,1,5.9,ROOM,3.4,20.06
3035,2.9,6.3,DOOR,9.86,21.42
3036,3.8,6,ROOM,12.92,20.4
3037,2.5,7.2,HALLWAY,8.5,24.48
3038,2.5,7.8,HALLWAY,8.5,26.52
3039,2,7.8,DOOR,6.8,26.52
3040,1,7.4,ROOM,3.4,25.16
3041,3.2,7.8,DOOR,10.88,26.52
3042,5.4,8.8,ROOM,18.36,29.92
3043,2.5,9.5,HALLWAY,8.5,32.3
3044,2,9.5,DOOR,6.8,32.3
3045,1,9.2,ROOM,3.4,31.28
3046,2.5,10,HALLWAY,8.5,34
3047,3.2,10,DOOR,10.88,34
3048,2.5,10.7,HALLWAY,8.5,36.38
3049,2,10.7,DOOR,6.8,36.38
3050,1,11,ROOM,3.4,37.4
3051,2.5,14.5,HALLWAY,8.5,49.3
3052,2,14.5,DOOR,6.8,49.3
3053,1,14.1,ROOM,3.4,47.94
3054,2.5,15.3,HALLWAY,8.5,52.02
3055,3.2,15.3,DOOR,10.88,52.02
3056,5.6,16.6,ROOM,19.04,56.44
3057,2.5,16.6,HALLWAY,8.5,56.44
3058,2,16.6,DOOR,6.8,56.44
3059,1,14.9,ROOM,3.4,50.66
3060,2.5,17.6,HALLWAY,8.5,59.84
3061,3.2,17.6,DOOR,10.88,59.84
3062,2.5,17.9,HALLWAY,8.5,60.86
3063,2,17.9,DOOR,6.8,60.86
3064,1,17.8,ROOM,3.4,60.52
3065,2.5,19.7,HALLWAY,8.5,66.98
3066,2,19.7,DOOR,6.8,66.98
3067,1,19.3,ROOM,3.4,65.62
3068,2.5,20.4,HALLWAY,8.5,69.36
3069,3,20.4,DOOR,10.2,69.36
3070,5.1,30,ROOM,17.34,102
3071,2.5,21.7,HALLWAY,8.5,73.78
3072,2,21.7,DOOR,6.8,73.78
3073,1,21.1,ROOM,3.4,71.74
3074,2.5,22.6,HALLWAY,8.5,76.84
3075,2.3,23,DOOR,7.82,78.2
3076,1.3,23.9,ROOM,4.42,81.26
3077,3.3,22.6,HALLWAY,11.22,76.84
3078,3.3,23,DOOR,11.22,78.2
3079,3.1,23.9,ROOM,10.54,81.26
3080,5.2,22.6,HALLWAY,17.68,76.84
3081,5.2,23,DOOR,17.68,78.2
3082,4.7,23.9,ROOM,15.98,81.26
3083,6.9,22.6,HALLWAY,23.46,76.84
3084,6.9,23,DOOR,23.46,78.2
3085,6.5,23.9,ROOM,22.1,81.26
3086,8.7,22.6,HALLWAY,29.58,76.84
3087,8.7,23,DOOR,29.58,78.2
3088,8.1,23.9,ROOM,27.54,81.26
3089,9.5,22.6,HALLWAY,32.3,76.84
3090,9.5,23,DOOR,32.3,78.2
3091,10.1,23.9,ROOM,34.34,81.26
3092,11.2,22.6,HALLWAY,38.08,76.84
3093,8.7,20.6,HALLWAY,29.58,70.04
3094,9,20.6,DOOR,30.6,70.04
3095,10,21.1,ROOM,34,71.74
3096,8.7,19.6,HALLWAY,29.58,66.64
3097,9,19.6,DOOR,30.6,66.64
3098,10,19.1,ROOM,34,64.94
3099,8.7,17.9,HALLWAY,29.58,60.86
3100,9,17.9,DOOR,30.6,60.86
3101,10,18.1,ROOM,34,61.54
3102,6.9,17.9,HALLWAY,23.46,60.86
3103,6.9,18.3,DOOR,23.46,62.22
3104,7.3,19.1,ROOM,24.82,64.94
3105,4.8,17.9,HALLWAY,16.32,60.86
3106,4.8,18.3,DOOR,16.32,62.22
3107,5.5,19.1,ROOM,18.7,64.94
3108,3.4,17.9,HALLWAY,11.56,60.86
3109,3.4,18.3,DOOR,11.56,62.22
3110,3.6,19.1,ROOM,12.24,64.94
3111,8.7,17.2,HALLWAY,29.58,58.48
3112,9,17.2,DOOR,30.6,58.48
3113,10,16.3,ROOM,34,55.42
3114,8.1,17.2,DOOR,27.54,58.48
3115,8.7,14.9,HALLWAY,29.58,50.66
3116,8.1,14.9,DOOR,27.54,50.66
3117,8.7,13.5,HALLWAY,29.58,45.9
3118,7.9,13.5,DOOR,26.86,45.9
3119,6.8,13.9,ROOM,23.12,47.26
3120,8.7,14.3,HALLWAY,29.58,48.62
3121,9,14.3,DOOR,30.6,48.62
3122,10,14.5,ROOM,34,49.3
3123,12.7,13.5,HALLWAY,43.18,45.9
3124,12.7,13.8,DOOR,43.18,46.92
3125,11.7,14.2,ROOM,39.78,48.28
3126,8.7,13.1,HALLWAY,29.58,44.54
3127,7.9,13.1,DOOR,26.86,44.54
3128,6.8,12.5,ROOM,23.12,42.5
3129,8.7,11.5,HALLWAY,29.58,39.1
3130,7.9,11.5,DOOR,26.86,39.1
3131,6.8,10.9,ROOM,23.12,37.06
3132,12.7,11.5,HALLWAY,43.18,39.1
3133,8.7,7.9,HALLWAY,29.58,26.86
3134,9,7.9,DOOR,30.6,26.86
3135,10,8.8,ROOM,34,29.92
3136,8.7,7.2,HALLWAY,29.58,24.48
3137,8,7.2,HALLWAY,27.2,24.48
3138,8,7.6,DOOR,27.2,25.84
3139,8,6.8,DOOR,27.2,23.12
3140,7.4,6.1,ROOM,25.16,20.74
3141,6.2,7.2,HALLWAY,21.08,24.48
3142,6.2,6.8,DOOR,21.08,23.12
3143,5.6,6.1,ROOM,19.04,20.74
3144,8.7,5.7,HALLWAY,29.58,19.38
3145,9,5.7,DOOR,30.6,19.38
3146,10,6,ROOM,34,20.4
3147,8.7,3.2,HALLWAY,29.58,10.88
3148,9,3.2,DOOR,30.6,10.88
3149,10,4,ROOM,34,13.6